lga_code,lga_name,2021_incr_det_ms,2021_incr_med_ms,2021_incr_high_ms,2022_incr_det_ms,2022_incr_med_ms,2022_incr_high_ms,2023_incr_det_ms,2023_incr_med_ms,2023_incr_high_ms,2024_incr_det_ms,2024_incr_med_ms,2024_incr_high_ms,2025_incr_det_ms,2025_incr_med_ms,2025_incr_high_ms,2026_incr_det_ms,2026_incr_med_ms,2026_incr_high_ms,2027_incr_det_ms,2027_incr_med_ms,2027_incr_high_ms,2028_incr_det_ms,2028_incr_med_ms,2028_incr_high_ms,2029_incr_det_ms,2029_incr_med_ms,2029_incr_high_ms,2030_incr_det_ms,2030_incr_med_ms,2030_incr_high_ms,2031_incr_det_ms,2031_incr_med_ms,2031_incr_high_ms,2032_incr_det_ms,2032_incr_med_ms,2032_incr_high_ms,2033_incr_det_ms,2033_incr_med_ms,2033_incr_high_ms,2034_incr_det_ms,2034_incr_med_ms,2034_incr_high_ms,2035_incr_det_ms,2035_incr_med_ms,2035_incr_high_ms
11650,Central Coast (C) (NSW),517.0,190.0,13.0,517.0,190.0,13.0,517.0,190.0,13.0,517.0,190.0,13.0,517.0,190.0,13.0,632.0,232.0,16.0,632.0,232.0,16.0,632.0,232.0,16.0,632.0,232.0,16.0,632.0,232.0,16.0,646.0,238.0,17.0,646.0,238.0,17.0,646.0,238.0,17.0,646.0,238.0,17.0,646.0,238.0,17.0
11700,Central Darling (A),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11720,Cessnock (C),314.0,121.0,0.0,314.0,121.0,0.0,314.0,121.0,0.0,314.0,121.0,0.0,314.0,121.0,0.0,343.0,132.0,0.0,343.0,132.0,0.0,343.0,132.0,0.0,343.0,132.0,0.0,343.0,132.0,0.0,351.0,136.0,0.0,351.0,136.0,0.0,351.0,136.0,0.0,351.0,136.0,0.0,351.0,136.0,0.0
11730,Clarence Valley (A),82.0,19.0,0.0,82.0,19.0,0.0,82.0,19.0,0.0,82.0,19.0,0.0,82.0,19.0,0.0,88.0,20.0,0.0,88.0,20.0,0.0,88.0,20.0,0.0,88.0,20.0,0.0,88.0,20.0,0.0,71.0,16.0,0.0,71.0,16.0,0.0,71.0,16.0,0.0,71.0,16.0,0.0,71.0,16.0,0.0
11750,Cobar (A),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11800,Coffs Harbour (C),121.0,56.0,2.0,121.0,56.0,2.0,121.0,56.0,2.0,121.0,56.0,2.0,121.0,56.0,2.0,148.0,69.0,3.0,148.0,69.0,3.0,148.0,69.0,3.0,148.0,69.0,3.0,148.0,69.0,3.0,134.0,62.0,2.0,134.0,62.0,2.0,134.0,62.0,2.0,134.0,62.0,2.0,134.0,62.0,2.0
12000,Coolamon (A),15.0,1.0,0.0,15.0,1.0,0.0,15.0,1.0,0.0,15.0,1.0,0.0,15.0,1.0,0.0,22.0,1.0,0.0,22.0,1.0,0.0,22.0,1.0,0.0,22.0,1.0,0.0,22.0,1.0,0.0,24.0,1.0,0.0,24.0,1.0,0.0,24.0,1.0,0.0,24.0,1.0,0.0,24.0,1.0,0.0
12150,Coonamble (A),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12160,Cootamundra-Gundagai Regional (A),8.0,1.0,0.0,8.0,1.0,0.0,8.0,1.0,0.0,8.0,1.0,0.0,8.0,1.0,0.0,10.0,1.0,0.0,10.0,1.0,0.0,10.0,1.0,0.0,10.0,1.0,0.0,10.0,1.0,0.0,8.0,1.0,0.0,8.0,1.0,0.0,8.0,1.0,0.0,8.0,1.0,0.0,8.0,1.0,0.0
12350,Cowra (A),44.0,8.0,0.0,44.0,8.0,0.0,44.0,8.0,0.0,44.0,8.0,0.0,44.0,8.0,0.0,39.0,7.0,0.0,39.0,7.0,0.0,39.0,7.0,0.0,39.0,7.0,0.0,39.0,7.0,0.0,31.0,5.0,0.0,31.0,5.0,0.0,31.0,5.0,0.0,31.0,5.0,0.0,31.0,5.0,0.0
