state_code,state_name,lga_code,lga_name,SEQ,2021_dw,2026_dw,2031_dw,2036_dw,2041_dw,2046_dw,Unnamed: 6,2021_incr,2022_incr,2023_incr,2024_incr,2025_incr,2026_incr,2027_incr,2028_incr,2029_incr,2030_incr,2031_incr,2032_incr,2033_incr,2034_incr,2035_incr
3,Queensland,36510,Scenic Rim,True,17992.0,19773.0,21399.0,22511.0,23325.0,23952.0,,356.0,356.0,356.0,356.0,356.0,325.0,325.0,325.0,325.0,325.0,222.0,222.0,222.0,222.0,222.0
3,Queensland,36580,Somerset,True,10710.0,11411.0,12285.0,13166.0,14063.0,14974.0,,140.0,140.0,140.0,140.0,140.0,175.0,175.0,175.0,175.0,175.0,176.0,176.0,176.0,176.0,176.0
3,Queensland,36630,South Burnett,False,15666.0,16298.0,17011.0,17731.0,18411.0,19080.0,,126.0,126.0,126.0,126.0,126.0,143.0,143.0,143.0,143.0,143.0,144.0,144.0,144.0,144.0,144.0
3,Queensland,36660,Southern Downs,False,17037.0,17450.0,17986.0,18406.0,18612.0,18685.0,,83.0,83.0,83.0,83.0,83.0,107.0,107.0,107.0,107.0,107.0,84.0,84.0,84.0,84.0,84.0
3,Queensland,36720,Sunshine Coast,True,145694.0,165627.0,183829.0,201850.0,218561.0,234421.0,,3987.0,3987.0,3987.0,3987.0,3987.0,3640.0,3640.0,3640.0,3640.0,3640.0,3604.0,3604.0,3604.0,3604.0,3604.0
3,Queensland,36820,Tablelands,False,12181.0,12935.0,13613.0,14242.0,14808.0,15330.0,,151.0,151.0,151.0,151.0,151.0,136.0,136.0,136.0,136.0,136.0,126.0,126.0,126.0,126.0,126.0
3,Queensland,36910,Toowoomba,True,73081.0,76947.0,81202.0,85039.0,88193.0,90962.0,,773.0,773.0,773.0,773.0,773.0,851.0,851.0,851.0,851.0,851.0,767.0,767.0,767.0,767.0,767.0
3,Queensland,36950,Torres,False,1188.0,1231.0,1267.0,1295.0,1304.0,1300.0,,9.0,9.0,9.0,9.0,9.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0
3,Queensland,36960,Torres Strait Island,False,1279.0,1315.0,1314.0,1312.0,1295.0,1269.0,,7.0,7.0,7.0,7.0,7.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
3,Queensland,37010,Townsville,False,81634.0,86678.0,92875.0,98984.0,104590.0,109524.0,,1009.0,1009.0,1009.0,1009.0,1009.0,1239.0,1239.0,1239.0,1239.0,1239.0,1222.0,1222.0,1222.0,1222.0,1222.0
