lga_code,lga_name,SEQ,det,med,high
27450,Yarra Ranges,,0.75,0.75,0.029
27630,Yarriambiack,,0.75,0.75,0.029
29399,Unincorporated Vic,,0.75,0.75,0.029
29499,No usual address (Vic.),,0.75,0.75,0.029
29799,Migratory - Offshore - Shipping (Vic.),,0.75,0.75,0.029
39499,No usual address (Qld),,0.75,0.75,0.029
39799,Migratory - Offshore - Shipping (Qld),,0.75,0.75,0.029
40070,Adelaide,,0.75,0.75,0.029
40120,Adelaide Hills,,0.75,0.75,0.029
40150,Adelaide Plains,,0.75,0.75,0.029
40220,Alexandrina,,0.75,0.75,0.029
40250,Anangu Pitjantjatjara Yankunytjatjara,,0.75,0.75,0.029
40310,Barossa,,0.75,0.75,0.029
40430,Barunga West,,0.75,0.75,0.029
40520,Berri Barmera,,0.75,0.75,0.029
40700,Burnside,,0.75,0.75,0.029
40910,Campbelltown (SA),,0.75,0.75,0.029
41010,Ceduna,,0.75,0.75,0.029
41060,Charles Sturt,,0.75,0.75,0.029
41140,Clare and Gilbert Valleys,,0.75,0.75,0.029
41190,Cleve,,0.75,0.75,0.029
41330,Coober Pedy,,0.75,0.75,0.029
41560,Copper Coast,,0.75,0.75,0.029
41750,Elliston,,0.75,0.75,0.029
41830,Flinders Ranges,,0.75,0.75,0.029
41960,Franklin Harbour,,0.75,0.75,0.029
42030,Gawler,,0.75,0.75,0.029
42110,Goyder,,0.75,0.75,0.029
42250,Grant,,0.75,0.75,0.029
42600,Holdfast Bay,,0.75,0.75,0.029
42750,Kangaroo Island,,0.75,0.75,0.029
43080,Karoonda East Murray,,0.75,0.75,0.029
43220,Kimba,,0.75,0.75,0.029
43360,Kingston (SA),,0.75,0.75,0.029
43650,Light,,0.75,0.75,0.029
43710,Lower Eyre Peninsula,,0.75,0.75,0.029
43790,Loxton Waikerie,,0.75,0.75,0.029
44000,Maralinga Tjarutja,,0.75,0.75,0.029
44060,Marion,,0.75,0.75,0.029
44210,Mid Murray,,0.75,0.75,0.029
44340,Mitcham,,0.75,0.75,0.029
44550,Mount Barker,,0.75,0.75,0.029
44620,Mount Gambier,,0.75,0.75,0.029
44830,Mount Remarkable,,0.75,0.75,0.029
45040,Murray Bridge,,0.75,0.75,0.029
45090,Naracoorte Lucindale,,0.75,0.75,0.029
45120,Northern Areas,,0.75,0.75,0.029
45290,Norwood Payneham and St Peters,,0.75,0.75,0.029
45340,Onkaparinga,,0.75,0.75,0.029
45400,Orroroo Carrieton,,0.75,0.75,0.029
45540,Peterborough,,0.75,0.75,0.029
45680,Playford,,0.75,0.75,0.029
45890,Port Adelaide Enfield,,0.75,0.75,0.029
46090,Port Augusta,,0.75,0.75,0.029
46300,Port Lincoln,,0.75,0.75,0.029
46450,Port Pirie,,0.75,0.75,0.029
46510,Prospect,,0.75,0.75,0.029
46670,Renmark Paringa,,0.75,0.75,0.029
46860,Robe,,0.75,0.75,0.029
46970,Roxby Downs,,0.75,0.75,0.029
47140,Salisbury,,0.75,0.75,0.029
47290,Southern Mallee,,0.75,0.75,0.029
47490,Streaky Bay,,0.75,0.75,0.029
47630,Tatiara,,0.75,0.75,0.029
47700,Tea Tree Gully,,0.75,0.75,0.029
47800,Coorong,,0.75,0.75,0.029
47910,Tumby Bay,,0.75,0.75,0.029
47980,Unley,,0.75,0.75,0.029
48050,Victor Harbor,,0.75,0.75,0.029
48130,Wakefield,,0.75,0.75,0.029
48260,Walkerville,,0.75,0.75,0.029
48340,Wattle Range,,0.75,0.75,0.029
48410,West Torrens,,0.75,0.75,0.029
48540,Whyalla,,0.75,0.75,0.029
48640,Wudinna,,0.75,0.75,0.029
48750,Yankalilla,,0.75,0.75,0.029
48830,Yorke Peninsula,,0.75,0.75,0.029
49399,Unincorporated SA,,0.75,0.75,0.029
49499,No usual address (SA),,0.75,0.75,0.029
49799,Migratory - Offshore - Shipping (SA),,0.75,0.75,0.029
50080,Albany,,0.75,0.75,0.029
50210,Armadale,,0.75,0.75,0.029
50250,Ashburton,,0.75,0.75,0.029
50280,Augusta Margaret River,,0.75,0.75,0.029
50350,Bassendean,,0.75,0.75,0.029
50420,Bayswater,,0.75,0.75,0.029
50490,Belmont,,0.75,0.75,0.029
50560,Beverley,,0.75,0.75,0.029
