lga_code,lga_name,2021_dw,2026_dw,2031_dw,2036_dw,2041_dw
17750,Wagga Wagga (C),28660.02339,29849.53974,31318.47592,32667.80809,33790.90005
17850,Walcha (A),1674.949198,1631.528415,1601.804335,1586.699245,1579.79606
17900,Walgett (A),3431.869014,3301.793211,3076.934836,2791.823966,2470.562145
17950,Warren (A),1404.492421,1309.146293,1220.801692,1117.455365,993.4894437
18020,Warrumbungle Shire (A),4790.080432,4717.99414,4604.72436,4443.824095,4258.802054
18050,Waverley (A),34834.24324,34613.79138,35531.44561,36632.11813,37839.09026
18100,Weddin (A),1992.893419,1972.815529,1962.155472,1938.871754,1901.140147
18200,Wentworth (A),3379.879717,3337.783081,3303.172397,3265.971862,3212.295637
18250,Willoughby (C),33530.38934,34572.01471,36809.09804,38436.93512,39891.53024
18350,Wingecarribee (A),24447.58313,26630.53275,29107.38908,31582.22868,33992.03405
18400,Wollondilly (A),19391.44385,21422.87048,24325.81143,28415.77558,33650.87756
18450,Wollongong (C),93310.33481,98015.59687,105068.8836,112830.31,120649.4758
18500,Woollahra (A),29357.41231,29347.3548,29995.63187,30859.62561,31875.10989
18710,Yass Valley (A),7595.348538,8246.094864,8884.465735,9459.553203,9934.420276
